# coercion_surface_sites.tsv -- THE DECLARED COERCION SURFACE (hq_T, ceo CEO-662, 2026-09-13).
#
# WHY THIS FILE EXISTS. A new descriptor tag owes an arm in every function that switches on a descriptor's
# tag, and before this census nobody could say what that set IS. The DT_BOOL tag (CEO-654) leaked three
# times in a row -- to_real, to_cstring, then is_numeric_like/to_int_slow/rt_concat_parts_d -- and each leak
# was found the same way: by watching a program that worked yesterday stop working. Three asks in a row is
# the finding, not the arms (CEO-662). This file turns "the tag leaks and I find out later" into a census.
#
# ⛔ IT IS A DATA FILE ON PURPOSE, NOT A GREP. util_coercion_surface_census.py DISCOVERS every
# `switch (x.v)` / `switch (x->v)` under src/runtime and src/driver and REDS on any site not listed here --
# so the list cannot quietly fall behind the tree -- but WHICH TAGS a site owes is a human judgement that a
# grep cannot make, and it is recorded here where a reviewer can disagree with it.
#
# COLUMNS:  file <TAB> function <TAB> tags_required <TAB> why
#   tags_required is a comma-separated list of DT_* names that MUST appear inside that function's body.
#   `-` means the site is declared as covered-by-inspection and owes no specific tag (it is enumerated so
#   the discovery arm stays silent, and the `why` says who decided that and on what ground).
#
# ⭐ WHAT THIS CENSUS DOES NOT CLAIM. It proves a tag is MENTIONED in a site, never that the arm is correct.
# Correctness is the oracle's job. This is the cheap half that was missing entirely.
#
# ⛔ A SITE WHERE A BOOL MUST COERCE DIFFERENTLY FROM ITS 1/0 INTEGER VALUE IS AN ASK, NOT AN ARM
# (CEO-662's one standing exception). Such sites carry OPEN-ASK in the `why` column and no DT_BOOL in
# tags_required, so the census stays green while the question is with the ceo rather than silently answered.
#
file	function	tags_required	why
src/runtime/arithmetic.c	big_route_operand	-	routes only bignum-shaped operands; a Bool is a 1/0 machine integer and is never a big
src/runtime/arithmetic.c	rt_cset_compl	-	cset complement; a Bool is not a cset and FAILDESCR is the right answer
src/runtime/rt/rt.c	c_rt_size_d	-	Icon's `*x`; unreachable from Raku, which is the only frontend that mints DT_BOOL
src/runtime/pattern_match.c	subscript_get_s	-	subscripting; a Bool is not a container and FAILDESCR is the right answer
src/runtime/pattern_match.c	subscript_get2_s	-	two-dimensional subscripting; same reason as subscript_get_s
src/runtime/pattern_match.c	c_rt_subscript_var_s	-	subscripting a variable; same reason
src/runtime/pattern_match.c	c_rt_subscript_var_container_only_s	-	subscripting restricted to containers; a Bool is explicitly not one
src/runtime/pattern_match.c	rt_deref_slow	-	dereferences a name; a Bool is a value, never a name
src/runtime/pattern_match.c	c_rt_assign_var_body	-	assignment target resolution; a Bool is never an lvalue
src/runtime/pattern_match.c	rt_list_bang_var_body	-	list-bang over a container; a Bool is not one
src/runtime/pattern_match.c	rt_random_var_body	-	random selection from a container; a Bool is not one
src/runtime/pattern_match.c	EVAL_fn	-	EVAL of a string or expression value; a Bool is neither
src/runtime/by_name_dispatch.c	rt_call_value	-	calls a value as a function; a Bool is not callable
src/runtime/by_name_dispatch.c	rt_call_value_gen_h	-	generator half of rt_call_value; same reason
src/runtime/by_name_dispatch.c	rt_pl_dop_is_v_c	-	Prolog is/2 arithmetic; Prolog cannot hold a DT_BOOL
src/runtime/by_name_dispatch.c	dop_cmp_fast	-	Prolog term comparison fast path; same reason
src/runtime/builtins/gen_runtime.c	rt_keyword_random_set	-	SNOBOL4 &RANDOM setter; unreachable from Raku
src/runtime/builtins/gen_runtime.c	rt_keyword_error_set	-	SNOBOL4 &ERROR setter; unreachable from Raku
src/runtime/builtins/gen_runtime.c	rt_keyword_trace_set	-	SNOBOL4 &TRACE setter; unreachable from Raku
src/runtime/builtins/gen_runtime.c	rt_keyword_dump_set	-	SNOBOL4 &DUMP setter; unreachable from Raku
src/runtime/string_ops.c	core_icn_str_ok	DT_BOOL	⭐ THE SITE THAT PROVES THE NAMING IS NOT A GUIDE: an `icn_`-prefixed gate that Raku's `eq`/`ne`/`lt` REACH. Without the tag, `$bool eq "True"` dies with error 103 "string expected" -- a live defect shipped in the previous landing, which this census found and the switch-only discovery could not (it returns a 0/1 verdict, not FAILDESCR)
src/runtime/core/core.c	core_icn_chars_ok	DT_BOOL	the chars-family twin of core_icn_str_ok, carried for the same reason: a Bool has a string value, and the previous site is standing proof that an icn_ name does not mean Icon-only
src/runtime/arithmetic.c	icn_cset_operand_ok	-	cset operands only; Rakudo has no cset and a Bool is correctly rejected
src/runtime/by_name_dispatch.c	icn_cvt_chars_ok	-	Icon's explicit conversion gate; unreachable from the one frontend that mints DT_BOOL
src/runtime/by_name_dispatch.c	pl_val_unbound	-	Prolog unbound-variable test; Prolog cannot hold a DT_BOOL
src/runtime/by_name_dispatch.c	plw_unbound_tag	-	Prolog unbound tag test; same reason
src/runtime/by_name_dispatch.c	pl_iso_unbound	-	Prolog ISO unbound-variable test; Prolog cannot hold a DT_BOOL
src/runtime/by_name_dispatch.c	pl_text_is_unbalanced	-	Prolog text balance check; same reason
src/runtime/by_name_dispatch.c	rt_pl_dop_atomic_list_concat_c	-	Prolog atomic_list_concat/2,3; same reason
src/runtime/by_name_dispatch.c	rt_pl_dop_concat_atom_c	-	Prolog atom_concat/3; same reason
